Código Unico,Tipo de Sitio HISPAM,Nombre Sitio,Departamento,Provincia,Distrito,Direccion,TIPO DE ZONA,Zona,L/R,Atención Incidencias,Latitud,Longitud,Observación,nueva segmentación comercial,"Nemónico 
(Código único)"
LI00451,B_2,03 DE FEBRERO,LIMA,LIMA,LA VICTORIA,AV. SAN CRISTOBAL 1769-1771,URBANO LIMA,Zona 3,LIMA,BAJO DEMANDA,-12.06675,-77.010973,,Black,LI00451
LI00809,B_2,1 DE MAYO VES,LIMA,LIMA,VILLA EL SALVADOR,"AV. 1RO DE MAYO 989. 1ER SECTOR. GRUPO RESIDENCIAL 13. MZ- N, LT-5. CRUCE CON AV. LOS ALAMOS  503.",URBANO LIMA,Zona 2,LIMA,BAJO DEMANDA,-12.19469,-76.95103,,Oro,LI00809
LI04520,B_1,1° DE MAYO,LIMA,LIMA,VILLA EL SALVADOR,MZ G LT 9 1° SECTOR GRUPO 17,URBANO LIMA,Zona 2,LIMA,BAJO DEMANDA,-12.19449167,-76.95254722,,Oro,LI04520
IC00125,B_1,11 DE SEPTIEMBRE,ICA,ICA,LA TINGUIÑA,CALLE JOAQUIN LUNA VICTORIA NÂº 578,URBANO REGIONES,Zona 2,REGIONES,BAJO DEMANDA,-14.04389,-75.707149,,Clásico,IC00125
PI00012,B_3,13 DE DICIEMBRE,PIURA,SULLANA,SULLANA,CA. ANDRÉS RAZURI 304 AA.HH 09 DE OCTUBRE,NO URBANO,Zona 1,REGIONES,BAJO DEMANDA,-4.90691,-80.66914,,Oro,PI00012
LO00150,D_3,13_DE_FEBRERO,LORETO,MAYNAS,SAN JUAN BAUTISTA,CENTRO POBLADO 13 DE FEBRERO S/N,NO URBANO,Zona 2,REGIONES,FEE,-4.03291,-73.39929,Sitio_PIA,Abandonar,LO00150
CA00041,D_1,ATAHUALPA CLARO,CAJAMARCA,CAJAMARCA,CAJAMARCA,JR. EL TRIUNFO N° 167 BARRIO SAN MARTIN DE PORRES,URBANO REGIONES,Zona 1,REGIONES,FEE,-7.16714,-78.5041,,Oro,CA00041
LI04514,B_1,200 MILLAS,CALLAO,CALLAO,CALLAO,"ELMER FAUCETT, LT. 45, MZ. P - URB. 200 MILLAS",URBANO LIMA,Zona 1,LIMA,FEE,-11.99777111,-77.12308806,,Oro,LI04514
LI00884,B_2,22 DE AGOSTO,LIMA,LIMA,COMAS,AV 22 DE AGOSTO Y CALLE 4,URBANO LIMA,Zona 3,LIMA,FEE,-11.94578,-77.059845,,Oro,LI00884
LI00753,B_3,25 MARZO,LIMA,LIMA,LURIN,CALLE LAS PALMERAS S/N,URBANO LIMA,Zona 2,LIMA,BAJO DEMANDA,-12.293145,-76.850114,,Clásico,LI00753
AY00235,B_2,26 ENERO,AYACUCHO,HUAMANGA,AYACUCHO,AV. MARAVILLA # 214,URBANO REGIONES,Zona 2,REGIONES,BAJO DEMANDA,-13.1525,-74.2249,,Oro,AY00235
LI00865,B_1,26 LA PAZ,LIMA,LIMA,SAN MIGUEL,"Calle Santa Rosa (Ex. Ca. 27) n° 188 manzana K Lote 03, Urbanizacion Miramar",URBANO LIMA,Zona 1,LIMA,BAJO DEMANDA,-12.07902,-77.108,,Black,LI00865
LL00047,B_2,26 MARZO,LA LIBERTAD,TRUJILLO,FLORENCIA DE MORA,"JR. 24 DE ABRIL VERTICAL 783, URB BARRIO CINCO PUEBLO JOVEN FLORENCIA DE MORA",URBANO REGIONES,Zona 1,REGIONES,BAJO DEMANDA,-8.08593889,-79.0247,,Clásico,LL00047
HN00008,B_2,28 DE JULIO HUANUCO,HUANUCO,HUANUCO,HUANUCO,JR HUANUCO No 732-736-740,URBANO REGIONES,Zona 2,REGIONES,BAJO DEMANDA,-9.93098,-76.24073,,Oro,HN00008
LI00705,B_2,28 DICIEMBRE,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,ASENTAMIENTO HUMANO VILLA MARIA DEL TRINFO MZF LT 12 J.R 28 DE DICIEMBRE 631,URBANO LIMA,Zona 2,LIMA,BAJO DEMANDA,-12.15957,-76.9439,,Oro,LI00705
UC00040,B_2,29 DE DICIEMBRE PUCALLPA,UCAYALI,CORONEL PORTILLO,CALLERIA,Jr. 1 Mz A Lote 8 AAHH Asociacion de Moradores Los Tulipanes,URBANO REGIONES,Zona 2,REGIONES,FEE,-8.41205,-74.58267,,Clásico,UC00040
LI00258,B_1,3 OCTUBRE,LIMA,LIMA,CARABAYLLO,Mz. A Lt 16 Residencial Las Lomas de Carabayllo,URBANO LIMA,Zona 3,LIMA,BAJO DEMANDA,-11.87401,-77.023761,,Oro,LI00258
LO00371,D_3,4GLO_CAHUIDE,LORETO,MAYNAS,SAN JUAN BAUTISTA,"SAN JUAN BAUTISTA, MAYNAS, LORETO",NO URBANO,Zona 2,REGIONES,FEE,-4.238583,-73.486709,Sitio_PIA,Abandonar,LO00371
LO00372,D_3,4GLO_FRAY_MARTIN,LORETO,MAYNAS,IQUITOS,"IQUITOS, MAYNAS, LORETO",NO URBANO,Zona 2,REGIONES,FEE,-3.71394,-73.31851,Sitio_PIA,Clásico,LO00372
LL00505,B_2,4TO SECTOR APIAT,LA LIBERTAD,TRUJILLO,TRUJILLO,CL SN,URBANO REGIONES,Zona 1,REGIONES,BAJO DEMANDA,-8.109625,-79.02148611,,Black,LL00505
LL00161,B_2,5 NOVIEMBRE,LA LIBERTAD,TRUJILLO,FLORENCIA DE MORA,Av. 9 de Octubre N° 1149,URBANO REGIONES,Zona 1,REGIONES,BAJO DEMANDA,-8.08022,-79.02501,,Clásico,LL00161
PU00255,B_2,6 DE AGOSTO,PUNO,SAN ROMAN,JULIACA,JR. MARAVILLAS B-18 URB. SAN MATEO,URBANO REGIONES,Zona 3,REGIONES,BAJO DEMANDA,-15.46282,-70.14137,,Oro,PU00255
LI00418,D_2,7 DE MAYO,LIMA,LIMA,LOS OLIVOS,AV ANGELICA GAMARRA DE LEÓN VELARDE N° 1361 SUB LOTE A-1 EX FUNDO CHAVARRÍA DEL VALLE BOCANEGRA ,URBANO LIMA,Zona 3,LIMA,FEE,-12.007056,-77.075833,,Black,LI00418
LO00307,B_1,9 DE OCTUBRE ,LORETO,MAYNAS,IQUITOS,"SAMAREN LT. 28 MZ. ""B"" AA.HH. J. VELASCO ALVARADO",URBANO REGIONES,Zona 2,REGIONES,FEE,-3.76595556,-73.26198333,,Clásico,LO00307
UC00001,B_2,9 DE OCTUBRE PUCALLPA,UCAYALI,CORONEL PORTILLO,CALLERIA,AAHH 9 DE OCTUBRE MZ 44 LT 13 SECTOR 9 DE OCTUBRE (ACTUALMENTE AV 9 DE OCTUBRE No 564 MZ 44 LT 13),URBANO REGIONES,Zona 2,REGIONES,FEE,-8.39334,-74.54629,,Clásico,UC00001
LA00046,B_2,9 OCTUBRE,LAMBAYEQUE,CHICLAYO,CHICLAYO,"AV. 9 DE OCTUBRE 651, AAHH CRUZ DEL PERDON",URBANO REGIONES,Zona 1,REGIONES,BAJO DEMANDA,-6.77763,-79.86019,,Black,LA00046
LA00165,B_2,A CORNEJO,LAMBAYEQUE,CHICLAYO,CHICLAYO,CALLE JORGE AREVALO 124 - URB. LA PRIMAVERA IV ETAPA,URBANO REGIONES,Zona 1,REGIONES,BAJO DEMANDA,-6.76256,-79.8529,,Black,LA00165
LI00161,B_2,A GAMARRA,LIMA,LIMA,SAN MARTIN DE PORRES,AV. ANGÉLICA GAMARRA N° 2228 URB. LOS LIBERTADORES,URBANO LIMA,Zona 3,LIMA,BAJO DEMANDA,-12.008025,-77.0863494,,Oro,LI00161
JU00342,B_1,A LOBATO,JUNIN,HUANCAYO,EL TAMBO,PASAJE MARISCAL CACERES  #  150,URBANO REGIONES,Zona 2,REGIONES,BAJO DEMANDA,-12.06584,-75.22892,,Oro,JU00342
LA00004,B_2,A NARANJAL,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,Av. Castillo de Oro Mz. M Lt. 13-14 Urb. Castillo de Oro,URBANO REGIONES,Zona 1,REGIONES,BAJO DEMANDA,-6.703,-79.89908,,Clásico,LA00004
